00:80:22	Scan-Opt	Scan-Optics
00:80:23	Integrat	Integrated Business Networks
00:80:24	Kalpana	Kalpana, Inc.
00:80:25	TelitWir	Telit Wireless Solutions GmbH
00:80:26	NetworkP	Network Products Corporation
00:80:27	Adaptive	Adaptive Systems, Inc.
00:80:28	Tradpost	Tradpost (Hk) Ltd
00:80:29	EagleTec	Eagle Technology, Inc.
00:80:2A	TestSimu	Test Systems & Simulations Inc
00:80:2B	Integrat	Integrated Marketing Co
00:80:2C	SageGrou	The Sage Group Plc
00:80:2D	Xylogics	Xylogics, Inc.	# Annex terminal servers
00:80:2E	CastleRo	Castle Rock Computing
00:80:2F	National	National Instruments Corp.
00:80:30	NexusEle	Nexus Electronics
00:80:31	Basys	Basys, Corp.
00:80:32	Access	Access Co., Ltd.
00:80:33	EMSAviat	EMS Aviation, Inc.
00:80:34	SmtGoupi	Smt Goupil
00:80:35	Technolo	Technology Works
00:80:36	ReflexMa	Reflex Manufacturing Systems
00:80:37	Ericsson	Ericsson Business Comm.
00:80:38	DataRese	Data Research & Applications
00:80:39	AlcatelS	Alcatel Stc Australia
00:80:3A	Varitype	Varityper, Inc.
00:80:3B	AptCommu	Apt Communications, Inc.
00:80:3C	TvsElect	Tvs Electronics Ltd
00:80:3D	Surigike	Surigiken Co., Ltd.
00:80:3E	Synernet	Synernetics
00:80:3F	Tatung	Tatung Company
00:80:40	JohnFluk	John Fluke Manufacturing Co.
00:80:41	VebKombi	Veb Kombinat Robotron
00:80:42	ForceCom	Force Computers
00:80:43	Networld	Networld, Inc.
00:80:44	SystechC	Systech Computer Corp.
00:80:45	Matsushi	Matsushita Electric Ind. Co
00:80:46	Tattile	Tattile SRL
00:80:47	In-Net	In-Net Corp.
00:80:48	CompexUs	Compex, used by Commodore and DEC at least
00:80:49	NissinEl	Nissin Electric Co., Ltd.
00:80:4A	Pro-Log
00:80:4B	EagleTec	Eagle Technologies Pty.Ltd.
00:80:4C	Contec	Contec Co., Ltd.
00:80:4D	CycloneM	Cyclone Microsystems, Inc.
00:80:4E	ApexComp	Apex Computer Company
00:80:4F	DaikinIn	Daikin Industries, Ltd.
00:80:50	Ziatech	Ziatech Corporation
00:80:51	AdcFiber	ADC Fibermux
00:80:52	Technica	Technically Elite Concepts
00:80:53	Intellic	Intellicom, Inc.
00:80:54	Frontier	Frontier Technologies Corp.
00:80:55	Fermilab
00:80:56	SPHINXEl	SPHINX Electronics GmbH & Co KG
00:80:57	Adsoft	Adsoft, Ltd.
00:80:58	Printer	Printer Systems Corp.
00:80:59	StanleyE	Stanley Electric Co., Ltd
00:80:5A	TulipCom	Tulip Computers International BV
00:80:5B	Condor	Condor Systems, Inc.
00:80:5C	Agilis		Agilis
00:80:5D	Canstar
00:80:5E	LsiLogic	Lsi Logic Corporation
00:80:5F	HewlettP	Hewlett Packard
00:80:60	NetworkI	Network Interface Corporation
00:80:61	Litton	Litton Systems, Inc.
00:80:62	Interfac	Interface Co.
00:80:63	RichardH	Richard Hirschmann Gmbh & Co
00:80:64	WyseTech	Wyse Technology Llc
00:80:65	Cybergra	Cybergraphic Systems Pty Ltd.
00:80:66	ArcomCon	Arcom Control Systems, Ltd.
00:80:67	SquareD	Square D Company
00:80:68	Yamatech	Yamatech Scientific Ltd.
00:80:69	Computon	Computone Systems
00:80:6A	EriEmpac	Eri (Empac Research Inc.)
00:80:6B	SchmidTe	Schmid Telecommunication
00:80:6C	CegelecP	Cegelec Projects Ltd
00:80:6D	Century	Century Systems Corp.
00:80:6E	NipponSt	Nippon Steel Corporation
00:80:6F	Onelan	Onelan Ltd.
00:80:70	Computad	Computadoras Micron
00:80:71	SaiTechn	Sai Technology
00:80:72	Microple	Microplex Systems Ltd.
00:80:73	DwbAssoc	Dwb Associates
00:80:74	FisherCo	Fisher Controls
00:80:75	Parsytec	Parsytec Gmbh
00:80:76	Mcnc
00:80:77	Brotheri	Brother industries, LTD.
00:80:78	Practica	Practical Peripherals, Inc.
00:80:79	Microbus	Microbus Designs Ltd.
00:80:7A	Aitech	Aitech Systems Ltd.
00:80:7B	ArtelCom	Artel Communications Corp.
00:80:7C	Fibercom	Fibercom, Inc.
00:80:7D	Equinox	Equinox Systems Inc.
00:80:7E	Southern	Southern Pacific Ltd.
00:80:7F	Dy-4	Dy-4 Incorporated
00:80:80	Datamedi	Datamedia Corporation
00:80:81	KendallS	Kendall Square Research Corp.
00:80:82	PepModul	Pep Modular Computers Gmbh
00:80:83	Amdahl
00:80:84	Cloud	The Cloud Inc.
00:80:85	H-Three	H-Three Systems Corporation
00:80:86	Computer	Computer Generation Inc.
00:80:87	OkiElect	Oki Electric Industry Co., Ltd
00:80:88	VictorJa	Victor Company Of Japan, Ltd.
00:80:89	Tecnetic	Tecnetics (Pty) Ltd.
00:80:8A	Summit		Summit
00:80:8B	Dacoll	Dacoll Limited
00:80:8C	Netscout	Netscout Systems (formerly Frontier Software Development)
00:80:8D	Westcove	Westcove Technology BV
00:80:8E	Radstone	Radstone Technology
00:80:8F	CItohEle	C. Itoh Electronics, Inc.
00:80:90	Microtek	Microtek International, Inc.
00:80:91	TokyoEle	Tokyo Electric Co.,Ltd
00:80:92	SilexTec	Silex Technology, Inc.
00:80:93	Xyron	Xyron Corporation
00:80:94	AlfaLava	Alfa Laval Automation Ab
00:80:95	BasicMer	Basic Merton Handelsges.M.B.H.
00:80:96	HumanDes	Human Designed Systems, Inc.
00:80:97	Centralp	Centralp Automatismes
00:80:98	Tdk	Tdk Corporation
00:80:99	EatonInd	Eaton Industries GmbH
00:80:9A	NovusNet	Novus Networks Ltd
00:80:9B	Justsyst	Justsystem Corporation
00:80:9C	Luxcom	Luxcom, Inc.
00:80:9D	Commscra	Commscraft Ltd.
00:80:9E	Datus	Datus Gmbh
00:80:9F	AlcatelB	Alcatel Business Systems
00:80:A0	HewlettP	Hewlett Packard
00:80:A1	Microtes	Microtest
00:80:A2	Creative	Creative Electronic Systems
00:80:A3	Lantroni	Lantronix	# (see also 0800A3)
00:80:A4	LibertyE	Liberty Electronics
00:80:A5	SpeedInt	Speed International
00:80:A6	Republic	Republic Technology, Inc.
00:80:A7	Honeywel	Honeywell International Inc
00:80:A8	Vitacom	Vitacom Corporation
00:80:A9	Clearpoi	Clearpoint Research
00:80:AA	Maxpeed
00:80:AB	DukaneNe	Dukane Network Integration
00:80:AC	ImlogixD	Imlogix, Division Of Genesys
00:80:AD	CnetTech	Cnet Technology, Inc.
00:80:AE	HughesNe	Hughes Network Systems
00:80:AF	Allumer	Allumer Co., Ltd.
00:80:B0	Advanced	Advanced Information
00:80:B1	Softcom	Softcom A/S
00:80:B2	NetNetwo	NET (Network Equipment Technologies)
00:80:B3	AvalData	Aval Data Corporation
00:80:B4	Sophia	Sophia Systems
00:80:B5	UnitedNe	United Networks Inc.
00:80:B6	Themis		Themis corporation
00:80:B7	StellarC	Stellar Computer
00:80:B8	DmgMoriB	Dmg Mori B.U.G. Co., Ltd.
00:80:B9	ArcheTec	Arche Technoligies Inc.
00:80:BA	Speciali	Specialix (Asia) Pte, Ltd
00:80:BB	HughesLa	Hughes Lan Systems
00:80:BC	HitachiE	Hitachi Engineering Co., Ltd
00:80:BD	Furukawa	The Furukawa Electric Co., Ltd
00:80:BE	AriesRes	Aries Research
00:80:BF	TakaokaE	Takaoka Electric Mfg. Co. Ltd.
00:80:C0	PenrilDa	Penril Datability Networks
00:80:C1	Lanex	Lanex Corporation
00:80:C2	Ieee8021	IEEE	# 802.1 Committee
00:80:C3	BiccInfo	Bicc Information Systems & Svc
00:80:C4	Document	Document Technologies, Inc.
00:80:C5	Novellco	Novellco De Mexico
00:80:C6	National	National Datacomm Corporation
00:80:C7	Xircom		Xircom, Inc.
00:80:C8	D-LinkAl	D-Link	# (also Solectek Pocket Adapters, and LinkSys PCMCIA)
00:80:C9	AlbertaM	Alberta Microelectronic Centre
00:80:CA	NetcomRe	Netcom Research Incorporated
00:80:CB	FalcoDat	Falco Data Products
00:80:CC	Microwav	Microwave Bypass Systems
00:80:CD	Micronic	Micronics Computer, Inc.
00:80:CE	Broadcas	Broadcast Television Systems
00:80:CF	Embedded	Embedded Performance Inc.
00:80:D0	Computer	Computer Products International
00:80:D1	Kimtron	Kimtron Corporation
00:80:D2	Shinniho	Shinnihondenko Co., Ltd.
00:80:D3	ShivaApp	Shiva	# Appletalk-Ethernet interface
00:80:D4	Chase		Chase Limited
00:80:D5	CadreTec	Cadre Technologies
00:80:D6	Nuvotech	Nuvotech, Inc.
00:80:D7	FantumEl	Fantum Electronics
00:80:D8	NetworkP	Network Peripherals
00:80:D9	EMKElekt	EMK Elektronik GmbH & Co. KG
00:80:DA	BruelKja	Bruel & Kjaer
00:80:DB	Graphon	Graphon Corporation
00:80:DC	PickerIn	Picker International
00:80:DD	GmxGimix	Gmx Inc/Gimix
00:80:DE	Gipsi	Gipsi S.A.
00:80:DF	AdcCoden	Adc Codenoll Technology Corp.
00:80:E0	Xtp	Xtp Systems, Inc.
00:80:E1	STMicroe	STMicroelectronics SRL
00:80:E2	TDI	T.D.I. Co., Ltd.
00:80:E3	Coral		Coral
00:80:E4	Northwes	Northwest Digital Systems, Inc
00:80:E5	NetApp
00:80:E6	PeerNetw	Peer Networks, Inc.
00:80:E7	Leonardo	Leonardo UK Ltd
00:80:E8	CumulusC	Cumulus Corporatiion
00:80:E9	Madge	Madge Ltd.
00:80:EA	ADVAOpti	ADVA Optical Networking Ltd.
00:80:EB	Compcont	Compcontrol B.V.
00:80:EC	Supercom	Supercomputing Solutions, Inc.
00:80:ED	IqTechno	Iq Technologies, Inc.
00:80:EE	ThomsonC	Thomson Csf
00:80:EF	Rational
00:80:F0	Panasoni	Panasonic Communications Co., Ltd.
00:80:F1	Opus	Opus Systems
00:80:F2	Raycom	Raycom Systems Inc
00:80:F3	SunElect	Sun Electronics Corp.
00:80:F4	Telemech	Telemechanique Electrique
00:80:F5	Quantel	Quantel Ltd
00:80:F6	SynergyM	Synergy Microsystems
00:80:F7	ZenithCo	Zenith Communications Products
00:80:F8	Mizar	Mizar, Inc.
00:80:F9	Heurikon	Heurikon Corporation
00:80:FA	Rwt	Rwt Gmbh
00:80:FB	Bvm	Bvm Limited
00:80:FC	Avatar	Avatar Corporation
00:80:FD	ExsceedC	Exsceed Corpration
00:80:FE	AzureTec	Azure Technologies, Inc.
00:80:FF	SocDeTel	Soc. De Teleinformatique Rtc
00:81:C4	Cisco	Cisco Systems, Inc
00:81:F9	TexasIns	Texas Instruments
00:84:ED	LexmarkI	Lexmark International, Inc.
00:86:9C	PaloAlto	Palo Alto Networks
00:86:A0	Private
00:87:01	SamsungE	Samsung Electronics Co.,Ltd
00:87:31	Cisco	Cisco Systems, Inc
00:87:64	Cisco	Cisco Systems, Inc
00:88:65	Apple	Apple, Inc.
00:88:BA	Nc&C
00:8A:55	HuaweiDe	Huawei Device Co., Ltd.
00:8A:76	Apple	Apple, Inc.
00:8A:96	Cisco	Cisco Systems, Inc
00:8B:43	Rftech
00:8B:FC	mixi	mixi,Inc.
00:8C:10	BlackBox	Black Box Corp.
00:8C:54	ADBBroad	ADB Broadband Italia
00:8C:FA	Inventec	Inventec Corporation
00:8D:4E	CjscNiiS	Cjsc Nii Stt
00:8D:DA	LinkOne	Link One Co., Ltd.
00:8E:73	Cisco	Cisco Systems, Inc
00:8E:F2	Netgear
00:90:00	DiamondM	Diamond Multimedia
00:90:01	NishimuE	Nishimu Electronics Industries Co., Ltd.
00:90:02	Allgon	Allgon Ab
00:90:03	Aplio
00:90:04	3ComEuro	3Com Europe Ltd
00:90:05	Protech	Protech Systems Co., Ltd.
00:90:06	Hamamats	Hamamatsu Photonics K.K.
00:90:07	DomexTec	Domex Technology Corp.
00:90:08	HanA	HanA Systems Inc.
00:90:09	IControl	I Controls, Inc.
00:90:0A	ProtonEl	Proton Electronic Industrial Co., Ltd.
00:90:0B	LannerEl	Lanner Electronics, Inc.
00:90:0C	Cisco	Cisco Systems, Inc
00:90:0D	Overland	Overland Storage Inc.
00:90:0E	Handlink	Handlink Technologies, Inc.
00:90:0F	Kawasaki	Kawasaki Heavy Industries, Ltd
00:90:10	Simulati	Simulation Laboratories, Inc.
00:90:11	WAVTrace	WAVTrace, Inc.
00:90:12	Globespa	Globespan Semiconductor, Inc.
00:90:13	Samsan	Samsan Corp.
00:90:14	RotorkIn	Rotork Instruments, Ltd.
00:90:15	Centigra	Centigram Communications Corp.
00:90:16	Zac
00:90:17	Zypcom	Zypcom, Inc
00:90:18	ItoElect	Ito Electric Industry Co, Ltd.
00:90:19	HermesEl	Hermes Electronics Co., Ltd.
00:90:1A	Unispher	Unisphere Solutions
00:90:1B	DigitalC	Digital Controls
00:90:1C	mpsSoftw	mps Software Gmbh
00:90:1D	PecNz	Pec (Nz) Ltd.
00:90:1E	SelestaI	Selesta Ingegneria S.p.A.
00:90:1F	AdtecPro	Adtec Productions, Inc.
00:90:20	PhilipsA	Philips Analytical X-Ray B.V.
00:90:21	Cisco	Cisco Systems, Inc
00:90:22	Ivex
00:90:23	Zilog	Zilog Inc.
00:90:24	Pipelink	Pipelinks, Inc.
00:90:25	BAEAustr	BAE Systems Australia (Electronic Systems) Pty Ltd
00:90:26	Advanced	Advanced Switching Communications, Inc.
00:90:27	Intel	Intel Corporation
00:90:28	NipponSi	Nippon Signal Co., Ltd.
00:90:29	Crypto	Crypto Ag
00:90:2A	Communic	Communication Devices, Inc.
00:90:2B	CiscoEth	Cisco	# Ethernet Switches and Light Streams
00:90:2C	DataCont	Data & Control Equipment Ltd.
00:90:2D	DataElec	Data Electronics (Aust.) Pty, Ltd.
00:90:2E	Namco	Namco Limited
00:90:2F	Netcore	Netcore Systems, Inc.
00:90:30	Honeywel	Honeywell-Dating
00:90:31	Mysticom	Mysticom, Ltd.
00:90:32	Pelcombe	Pelcombe Group Ltd.
00:90:33	Innovaph	Innovaphone Ag
00:90:34	Imagic	Imagic, Inc.
00:90:35	AlphaTel	Alpha Telecom, Inc.
00:90:36	ens	ens, inc.
00:90:37	Acucomm	Acucomm, Inc.
00:90:38	Fountain	Fountain Technologies, Inc.
00:90:39	ShastaNe	Shasta Networks
00:90:3A	NihonMed	Nihon Media Tool Inc.
00:90:3B	TriEMSRe	TriEMS Research Lab, Inc.
00:90:3C	Atlantic	Atlantic Network Systems
00:90:3D	Biopac	Biopac Systems, Inc.
00:90:3E	PhilipsI	N.V. Philips Industrial Activities
00:90:3F	WorldCas	WorldCast Systems
00:90:40	SiemensN	Siemens Network Convergence LLC
00:90:41	AppliedD	Applied Digital Access
00:90:42	ECCS	ECCS, Inc.
00:90:43	Tattile	Tattile SRL
00:90:44	AssuredD	Assured Digital, Inc.
00:90:45	MarconiC	Marconi Communications
00:90:46	Dexdyne	Dexdyne, Ltd.
00:90:47	GigaFast	Giga Fast E. Ltd.
00:90:48	Zeal	Zeal Corporation
00:90:49	Entridia	Entridia Corporation
00:90:4A	ConcurSy	Concur System Technologies
00:90:4B	GemtekTe	Gemtek Technology Co., Ltd.
00:90:4C	Epigram	Epigram, Inc.
00:90:4D	Spec	Spec S.A.
00:90:4E	Delem	Delem Bv
00:90:4F	AbbPower	Abb Power T&D Company, Inc.
00:90:50	Teleste	Teleste Corporation
00:90:51	Ultimate	Ultimate Technology Corp.
00:90:52	SelcomEl	Selcom Elettronica S.R.L.
00:90:53	DaewooEl	Daewoo Electronics Co., Ltd.
00:90:54	Innovati	Innovative Semiconductors, Inc
00:90:55	ParkerHa	Parker Hannifin Corporation Compumotor Division
00:90:56	Telestre	Telestream, Inc.
00:90:57	AANetcom	AANetcom, Inc.
00:90:58	UltraEle	Ultra Electronics Command & Control Systems
00:90:59	TelecomD	Telecom Device K.K.
00:90:5A	Dearborn	Dearborn Group, Inc.
00:90:5B	RaymondA	Raymond And Lae Engineering
00:90:5C	Edmi
00:90:5D	NetcomSi	Netcom Sicherheitstechnik Gmbh
00:90:5E	Rauland-	Rauland-Borg Corporation
00:90:5F	Cisco	Cisco Systems, Inc
00:90:60	SystemCr	System Create Corp.
00:90:61	PacificR	Pacific Research & Engineering Corporation
00:90:62	ICPVORTE	ICP VORTEX COMPUTERSYSTEME GmbH
00:90:63	Coherent	Coherent Communications Systems Corporation
00:90:64	Thomson	Thomson Inc.
00:90:65	Finisar	Finisar Corporation
00:90:66	TroikaNe	Troika Networks, Inc.
00:90:67	WalkAbou	WalkAbout Computers, Inc.
00:90:68	Dvt	Dvt Corp.
00:90:69	JuniperN	Juniper Networks
00:90:6A	Turnston	Turnstone Systems, Inc.
00:90:6B	AppliedR	Applied Resources, Inc.
00:90:6C	Sartoriu	Sartorius Hamburg GmbH
00:90:6D	Cisco	Cisco Systems, Inc
00:90:6E	Praxon	Praxon, Inc.
00:90:6F	Cisco	Cisco Systems, Inc
00:90:70	NeoNetwo	Neo Networks, Inc.
00:90:71	AppliedI	Applied Innovation Inc.
00:90:72	SimradAs	Simrad As
00:90:73	GaioTech	Gaio Technology
00:90:74	ArgonNet	Argon Networks, Inc.
00:90:75	NecDoBra	Nec Do Brasil S.A.
00:90:76	FmtAircr	Fmt Aircraft Gate Support Systems Ab
00:90:77	Advanced	Advanced Fibre Communications
00:90:78	MerTelem	Mer Telemanagement Solutions, Ltd.
00:90:79	ClearOne	ClearOne, Inc.
00:90:7A	Spectral	Spectralink, Inc
00:90:7B	E-Tech	E-Tech, Inc.
00:90:7C	Digitalc	Digitalcast, Inc.
00:90:7D	LakeComm	Lake Communications
00:90:7E	Vetronix	Vetronix Corp.
00:90:7F	WatchGua	WatchGuard Technologies, Inc.
00:90:80	Not	Not Limited, Inc.
00:90:81	AlohaNet	Aloha Networks, Inc.
00:90:82	ForceIns	Force Institute
00:90:83	TurboCom	Turbo Communication, Inc.
00:90:84	AtechSys	Atech System
00:90:85	GoldenEn	Golden Enterprises, Inc.
00:90:86	Cisco	Cisco Systems, Inc
00:90:87	Itis
00:90:88	BaxallSe	Baxall Security Ltd.
00:90:89	SoftcomM	Softcom Microsystems, Inc.
00:90:8A	BaylyCom	Bayly Communications, Inc.
00:90:8B	Tattile	Tattile SRL
00:90:8C	EtrendEl	Etrend Electronics, Inc.
00:90:8D	VickersE	Vickers Electronics Systems
00:90:8E	NortelNe	Nortel Networks Broadband Access
00:90:8F	AudioCod	Audio Codes Ltd.
00:90:90	I-Bus
00:90:91	DigitalS	DigitalScape, Inc.
00:90:92	Cisco	Cisco Systems, Inc
00:90:93	EIZO	EIZO Corporation
00:90:94	OspreyTe	Osprey Technologies, Inc.
00:90:95	Universa	Universal Avionics
00:90:96	AskeyCom	Askey Computer Corp
00:90:97	Sycamore	Sycamore Networks
00:90:98	SbcDesig	Sbc Designs, Inc.
00:90:99	AlliedTe	Allied Telesis, K.K.
00:90:9A	OneWorld	One World Systems, Inc.
00:90:9B	Markem-I	Markem-Imaje
00:90:9C	ARRISGro	ARRIS Group, Inc.
00:90:9D	NovaTech	NovaTech Process Solutions, LLC
00:90:9E	Critical	Critical IO, LLC
00:90:9F	Digi-Dat	Digi-Data Corporation
00:90:A0	8X8	8X8 Inc.
00:90:A1	FlyingPi	Flying Pig Systems/High End Systems Inc.
00:90:A2	CyberTAN	CyberTAN Technology Inc.
00:90:A3	Corecess	Corecess Inc.
00:90:A4	AltigaNe	Altiga Networks
00:90:A5	SpectraL	Spectra Logic
00:90:A6	Cisco	Cisco Systems, Inc
00:90:A7	Clientec	Clientec Corporation
00:90:A8	NineTile	NineTiles Networks, Ltd.
00:90:A9	WesternD	Western Digital
00:90:AA	IndigoAc	Indigo Active Vision Systems Limited
00:90:AB	Cisco	Cisco Systems, Inc
00:90:AC	Optivisi	Optivision, Inc.
00:90:AD	AspectEl	Aspect Electronics, Inc.
00:90:AE	ITALTELR	ITALTEL S.p.A/RF-UP-I
00:90:AF	JMoritaM	J. Morita Mfg. Corp.
00:90:B0	Vadem
00:90:B1	Cisco	Cisco Systems, Inc
00:90:B2	Avici	Avici Systems Inc.
00:90:B3	Agranat	Agranat Systems
00:90:B4	Willowbr	Willowbrook Technologies
00:90:B5	Nikon	Nikon Corporation
00:90:B6	Fibex	Fibex Systems
00:90:B7	DigitalL	Digital Lightwave, Inc.
00:90:B8	RohdeSch	Rohde & Schwarz Gmbh & Co. Kg
00:90:B9	BeranIns	Beran Instruments Ltd.
00:90:BA	ValidNet	Valid Networks, Inc.
00:90:BB	TAINETCO	TAINET COMMUNICATION SYSTEM Corp.
00:90:BC	Telemann	Telemann Co., Ltd.
00:90:BD	OmniaCom	Omnia Communications, Inc.
00:90:BE	IbcInteg	Ibc/Integrated Business Computers
00:90:BF	Cisco	Cisco Systems, Inc
00:90:C0	KJLawEng	K.J. Law Engineers, Inc.
00:90:C1	PecoII	Peco II, Inc.
00:90:C2	JKmicros	JK microsystems, Inc.
00:90:C3	TopicSem	Topic Semiconductor Corp.
00:90:C4	Javelin	Javelin Systems, Inc.
00:90:C5	Internet	Internet Magic, Inc.
00:90:C6	Optim	Optim Systems, Inc.
00:90:C7	Icom	Icom Inc.
00:90:C8	Waveride	Waverider Communications (Canada) Inc.
00:90:C9	DPACTech	DPAC Technologies
00:90:CA	AccordVi	Accord Video Telecommunications, Ltd.
00:90:CB	Wireless	Wireless OnLine, Inc.
00:90:CC	PlanexCo	Planex Communications Inc.
00:90:CD	Ent-Empr	Ent-Empresa Nacional De Telecommunicacoes, S.A.
00:90:CE	avateram	avateramedical Mechatronics GmbH
00:90:CF	Nortel
00:90:D0	ThomsonT	Thomson Telecom Belgium
00:90:D1	LeichuEn	Leichu Enterprise Co., Ltd.
00:90:D2	ArtelVid	Artel Video Systems
00:90:D3	GIESECKE	GIESECKE & DEVRIENT GmbH
00:90:D4	BindView	BindView Development Corp.
00:90:D5	Euphonix	Euphonix, Inc.
00:90:D6	CrystalG	Crystal Group, Inc.
00:90:D7	NetBoost	NetBoost Corp.
00:90:D8	Whitecro	Whitecross Systems
00:90:D9	Cisco	Cisco Systems, Inc
00:90:DA	Dynarc	Dynarc, Inc.
00:90:DB	NextLeve	Next Level Communications
00:90:DC	TecoInfo	Teco Information Systems
00:90:DD	MIHARUCO	MIHARU COMMUNICATIONS Inc
00:90:DE	Cardkey	Cardkey Systems, Inc.
00:90:DF	Mitsubis	Mitsubishi Chemical America, Inc.
00:90:E0	Systran	Systran Corp.
00:90:E1	Telena	Telena S.P.A.
00:90:E2	Distribu	Distributed Processing Technology
00:90:E3	AvexElec	Avex Electronics Inc.
00:90:E4	NecAmeri	Nec America, Inc.
00:90:E5	Teknema	Teknema, Inc.
00:90:E6	ALi	ALi Corporation
00:90:E7	HorschEl	Horsch Elektronik Ag
00:90:E8	MoxaTech	Moxa Technologies Corp., Ltd.
00:90:E9	JanzComp	Janz Computer Ag
00:90:EA	AlphaTec	Alpha Technologies, Inc.
00:90:EB	SentryTe	Sentry Telecom Systems
00:90:EC	Pyrescom
00:90:ED	CentralS	Central System Research Co., Ltd.
00:90:EE	Personal	Personal Communications Technologies
00:90:EF	Integrix	Integrix, Inc.
00:90:F0	Harmonic	Harmonic Video Systems Ltd.
00:90:F1	SeagateC	Seagate Cloud Systems Inc
00:90:F2	CiscoEth	Cisco	# Ethernet Switches and Light Streams
00:90:F3	AspectCo	Aspect Communications
00:90:F4	Lightnin	Lightning Instrumentation
00:90:F5	Clevo	Clevo Co.
00:90:F6	Escalate	Escalate Networks, Inc.
00:90:F7	NbaseCom	Nbase Communications Ltd.
00:90:F8	Mediatri	Mediatrix Telecom
00:90:F9	ImagineC	Imagine Communications
00:90:FA	Emulex	Emulex Corporation
00:90:FB	Portwell	Portwell, Inc.
00:90:FC	NetworkC	Network Computing Devices
00:90:FD	CopperCo	CopperCom, Inc.
00:90:FE	ElecomLa	Elecom Co., Ltd. (Laneed Div.)
00:90:FF	TellusTe	Tellus Technology Inc.
00:91:9E	IntelCor	Intel Corporate
00:91:D6	CrystalG	Crystal Group, Inc.
00:91:EB	RenesasE	Renesas Electronics (Penang) Sdn. Bhd.
00:91:FA	SynapseP	Synapse Product Development
00:92:7D	FicosaIn	Ficosa Internationa(Taicang) C0.,Ltd.
00:92:FA	Shenzhen	Shenzhen Wisky Technology Co.,Ltd
00:93:37	IntelCor	Intel Corporate
00:93:63	Uni-Link	Uni-Link Technology Co., Ltd.
00:94:A1	F5Networ	F5 Networks, Inc.
00:94:EC	HuaweiDe	Huawei Device Co., Ltd.
00:95:69	LSDScien	LSD Science and Technology Co.,Ltd.
00:97:FF	HeimannS	Heimann Sensor GmbH
00:99:1D	HuaweiTe	Huawei Technologies Co.,Ltd
00:9A:CD	HuaweiTe	Huawei Technologies Co.,Ltd
00:9A:D2	Cisco	Cisco Systems, Inc
00:9C:02	HewlettP	Hewlett Packard
00:9D:6B	MurataMa	Murata Manufacturing Co., Ltd.
00:9D:8E	CardiacR	Cardiac Recorders, Inc.
00:9E:1E	Cisco	Cisco Systems, Inc
00:9E:C8	XiaomiCo	Xiaomi Communications Co Ltd
00:9E:EE	Positivo	Positivo Tecnologia S.A.
00:A0:00	Centilli	Centillion Networks, Inc.
00:A0:01	DRSSigna	DRS Signal Solutions
00:A0:02	LeedsNor	Leeds & Northrup Australia Pty Ltd
00:A0:03	SiemensS	Siemens Switzerland Ltd., I B T HVP
00:A0:04	Netpower	Netpower, Inc.
00:A0:05	DanielIn	Daniel Instruments, Ltd.
00:A0:06	ImageDat	Image Data Processing System Group
00:A0:07	ApexxTec	Apexx Technology, Inc.
00:A0:08	Netcorp
00:A0:09	Whitetre	Whitetree Network
00:A0:0A	Airspan
00:A0:0B	Computex	Computex Co., Ltd.
00:A0:0C	KingmaxT	Kingmax Technology Inc.	# PCMCIA card
00:A0:0D	PandaPro	The Panda Project
00:A0:0E	Netscout	Netscout Systems Inc
00:A0:0F	Broadban	Broadband Technologies
00:A0:10	Syslogic	Syslogic Datentechnik Ag
00:A0:11	MutohInd	Mutoh Industries Ltd.
00:A0:12	Telco	Telco Systems, Inc.
00:A0:13	Teltrend	Teltrend Ltd.
00:A0:14	Csir
00:A0:15	Wyle
00:A0:16	Micropol	Micropolis Corp.
00:A0:17	JBM	J B M Corporation
00:A0:18	Creative	Creative Controllers, Inc.
00:A0:19	NebulaCo	Nebula Consultants, Inc.
00:A0:1A	BinarEle	Binar Elektronik Ab
00:A0:1B	Premisys	Premisys Communications, Inc.
00:A0:1C	NascentN	Nascent Networks Corporation
00:A0:1D	RedLionC	Red Lion Controls, LP
00:A0:1E	Est	Est Corporation
00:A0:1F	Tricord	Tricord Systems, Inc.
00:A0:20	Citicorp	Citicorp/Tti
00:A0:21	GeneralD	General Dynamics Mission Systems
00:A0:22	CentreFo	Centre For Development Of Advanced Computing
00:A0:23	AppliedC	Applied Creative Technology, Inc.
00:A0:24	3Com
00:A0:25	RedcomLa	Redcom Labs Inc.
00:A0:26	Teldat	Teldat, S.A.
00:A0:27	Firepowe	Firepower Systems, Inc.
00:A0:28	ConnerPe	Conner Peripherals
00:A0:29	Coulter	Coulter Corporation
00:A0:2A	Trancell	Trancell Systems
00:A0:2B	Transiti	Transitions Research Corp.
00:A0:2C	interWAV	interWAVE Communications
00:A0:2D	1394Trad	1394 Trade Association
00:A0:2E	BrandCom	Brand Communications, Ltd.
00:A0:2F	ADBBroad	ADB Broadband Italia
00:A0:30	Captor	Captor Nv/Sa
00:A0:31	Hazeltin	Hazeltine Corporation, Ms 1-17
00:A0:32	GesSinga	Ges Singapore Pte. Ltd.
00:A0:33	imcMeBsy	imc MeBsysteme GmbH
00:A0:34	Axel
00:A0:35	Cylink	Cylink Corporation
00:A0:36	AppliedN	Applied Network Technology
00:A0:37	MindrayD	Mindray DS USA, Inc.
00:A0:38	EmailEle	Email Electronics
00:A0:39	RossTech	Ross Technology, Inc.
00:A0:3A	Kubotek	Kubotek Corporation
